No,p1,rel,p2
1,蔡徐坤,前队友,吾木提·吐尔逊
2,蔡徐坤,前队友,俞更寅
3,蔡徐坤,前队友,何屹繁
4,蔡徐坤,前队友,刘也
5,蔡徐坤,前队友,赵品霖
6,蔡徐坤,搭档,李晨
7,蔡徐坤,搭档,Angelababy
8,蔡徐坤,搭档,郑恺
9,蔡徐坤,搭档,白鹿
10,蔡徐坤,前队友,范丞丞
11,蔡徐坤,前队友,陈立农
12,蔡徐坤,前队友,黄明昊
13,蔡徐坤,前队友,林彦俊
14,蔡徐坤,前队友,朱正廷
15,蔡徐坤,前队友,王子异
16,蔡徐坤,前队友,小鬼
17,蔡徐坤,前队友,尤长靖
18,吾木提·吐尔逊,队友,刘也
19,吾木提·吐尔逊,队友,赵品霖
20,吾木提·吐尔逊,队友,俞更寅
21,吾木提·吐尔逊,队友,何屹繁
22,吾木提·吐尔逊,前队友,蔡徐坤
23,俞更寅,队友,刘也
24,俞更寅,队友,赵品霖
25,俞更寅,队友,何屹繁
26,俞更寅,队友,吾木提·吐尔逊
27,俞更寅,前队友,蔡徐坤
28,何屹繁,队友,刘也
29,何屹繁,队友,赵品霖
30,何屹繁,队友,俞更寅
31,何屹繁,队友,吾木提·吐尔逊
32,何屹繁,前队友,蔡徐坤
33,刘也,队友,俞更寅
34,刘也,队友,何屹繁
35,刘也,队友,吾木提·吐尔逊
36,刘也,队友,赵品霖
37,刘也,前队友,蔡徐坤
38,刘也,前队友,任豪
39,赵品霖,队友,刘也
40,赵品霖,队友,何屹繁
41,赵品霖,队友,吾木提·吐尔逊
42,赵品霖,队友,俞更寅
43,赵品霖,前队友,蔡徐坤
44,李晨,前女友,范冰冰
45,李晨,前女友,迪丽娜尔
46,李晨,祖母,张其超
47,李晨,好友,杨烁
48,李晨,好友,霍思燕
49,李晨,好友,张歆艺
50,李晨,好友,邓超
51,李晨,好友,沙溢
52,李晨,好友,郑恺
53,李晨,好友,杜江
54,李晨,好友,杜淳
55,李晨,搭档,张芷溪
56,李晨,搭档,马伊琍
57,李晨,搭档,袁姗姗
58,李晨,搭档,马里山
59,李晨,搭档,蔡徐坤
60,李晨,搭档,马苏
61,李晨,搭档,张译
62,Angelababy,儿子,小海绵
63,Angelababy,弟弟,杨帆
64,Angelababy,前夫,黄晓明
65,Angelababy,前男友,陈伟霆
66,Angelababy,好友,杨幂
67,Angelababy,好友,井柏然
68,Angelababy,好友,郑恺
69,Angelababy,好友,张大大
70,Angelababy,好友,韩火火
71,Angelababy,搭档,苏青
72,Angelababy,搭档,白鹿
73,Angelababy,搭档,赵又廷
74,Angelababy,搭档,任嘉伦
